"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.153953750E0,4.342763722E-1,5.524166226E-1,-8.082690239E-1
3.163932750E0,4.777543247E-1,7.168963552E-1,-7.350765467E-1
3.173942750E0,4.294493794E-1,7.109953165E-1,-6.895368099E-1
3.183951750E0,3.602524996E-1,6.357234120E-1,-6.424537897E-1
3.193931750E0,3.428604603E-1,5.090357661E-1,-5.239726901E-1
3.203940750E0,3.437532485E-1,3.329451382E-1,-3.865037262E-1
3.213950750E0,2.818411589E-1,1.227714121E-1,-2.400474548E-1
3.223929750E0,1.826697886E-1,-5.990590155E-2,-7.803823054E-2
3.233939750E0,9.384350479E-2,-1.961622685E-1,8.610942960E-2
3.243949750E0,1.417797804E-2,-2.975972891E-1,2.138514221E-1
3.253928750E0,-5.281996354E-2,-3.435253501E-1,2.976296842E-1
3.263938750E0,-1.111984104E-1,-3.352287710E-1,3.636807501E-1
3.273948750E0,-1.718780100E-1,-3.053203821E-1,4.220851958E-1
3.283927750E0,-2.441701740E-1,-2.813202739E-1,4.730837047E-1
3.293937750E0,-3.006206453E-1,-2.535032928E-1,4.877236187E-1
3.303947750E0,-3.304468095E-1,-2.141698897E-1,4.597525299E-1
3.313920125E0,-3.555620313E-1,-2.101040483E-1,3.888008595E-1
3.323900125E0,-3.591642082E-1,-2.163500190E-1,2.831567824E-1
3.333909125E0,-2.847341895E-1,-1.377737075E-1,1.643326879E-1
3.343919125E0,-1.623813063E-1,-2.603644505E-2,4.947411641E-2
3.353898125E0,-5.633557215E-2,6.645114720E-2,-5.578945577E-2
3.363908125E0,1.633786038E-2,1.107952893E-1,-1.423091590E-1
3.373918125E0,6.425584853E-2,9.615749121E-2,-1.959854364E-1
3.383897125E0,1.118387580E-1,3.611250594E-2,-1.984557062E-1
3.393907125E0,1.254416555E-1,-7.980743796E-2,-1.591330767E-1
3.403917125E0,7.634997368E-2,-2.149188370E-1,-1.099761128E-1
3.413896125E0,-6.374189258E-2,-4.183768928E-1,-6.446348876E-2
3.423906125E0,-2.544144392E-1,-5.759551525E-1,-4.819541425E-2
3.433915125E0,-3.869074881E-1,-5.813957453E-1,-6.942107528E-2
3.443895125E0,-4.625109136E-1,-4.777545333E-1,-1.224185079E-1
3.453904125E0,-5.191140175E-1,-2.799524963E-1,-1.696161181E-1
3.463914125E0,-5.849481821E-1,-1.098129973E-1,-1.572816819E-1
3.473893125E0,-6.618362665E-1,1.397259440E-2,-1.227463484E-1
3.483903125E0,-7.018155456E-1,1.675929427E-1,-1.355322301E-1
3.493913125E0,-6.760808825E-1,3.409521878E-1,-1.782868803E-1
3.503923125E0,-6.052953601E-1,4.449875057E-1,-1.945095211E-1
3.513902125E0,-4.819388092E-1,5.218125582E-1,-1.384137720E-1
3.523912125E0,-3.332049847E-1,6.166559458E-1,-4.764683917E-2
3.533922125E0,-2.219727337E-1,6.440582871E-1,9.371002018E-2
3.543901125E0,-1.775688827E-1,5.637256503E-1,2.470335066E-1
3.553911125E0,-1.631697118E-1,4.499468803E-1,3.673252761E-1
3.563920125E0,-1.794444174E-1,2.777992487E-1,4.533898234E-1
3.573900125E0,-2.984744012E-1,5.226093158E-2,4.741454422E-1
3.583909125E0,-4.790700376E-1,-6.884782761E-2,4.408184290E-1
3.593919125E0,-5.915713310E-1,-6.970269978E-2,4.259049892E-1
3.603898125E0,-5.269287229E-1,1.076947898E-1,4.652586877E-1
3.613908125E0,-2.964393497E-1,4.246064425E-1,4.356821477E-1
3.623918125E0,-1.157140061E-1,6.277343631E-1,3.673408926E-1
3.633897125E0,-4.693281651E-2,6.250629425E-1,3.387012780E-1
3.643907125E0,2.433240414E-3,4.832879603E-1,3.579999208E-1
3.653917125E0,-2.745355107E-2,2.271829396E-1,3.137046397E-1
3.663896125E0,-9.129898250E-2,1.035087090E-2,3.149715364E-1
3.673906125E0,-1.620258838E-1,-1.625194401E-1,2.976135910E-1
3.683915125E0,-2.335993648E-1,-2.109182328E-1,2.903683484E-1
3.693895125E0,-3.033123910E-1,-1.227585450E-1,3.257676363E-1
3.703904125E0,-3.608167470E-1,-3.301870823E-2,3.449558020E-1
3.713914125E0,-3.699649572E-1,1.608399749E-1,3.345148861E-1
3.723924125E0,-3.497603536E-1,3.167794943E-1,3.497042060E-1
3.733903125E0,-3.537553549E-1,4.421531260E-1,3.417352438E-1
3.743913125E0,-3.881217241E-1,5.713599920E-1,3.398689330E-1
3.753923125E0,-4.687204361E-1,6.462760568E-1,3.404010236E-1
3.763902125E0,-5.653064847E-1,6.542478204E-1,3.457621932E-1
3.773912125E0,-6.376155615E-1,6.017544866E-1,3.513825238E-1
3.783922125E0,-6.667277813E-1,5.023122430E-1,3.381881416E-1
3.793901125E0,-6.747630835E-1,3.690380752E-1,3.250113428E-1
3.803911125E0,-7.006093860E-1,2.169362009E-1,2.987151742E-1
3.813920125E0,-6.986224055E-1,1.361297667E-1,2.780309319E-1
3.823900125E0,-6.690151691E-1,1.155719012E-1,2.726939917E-1
3.833909125E0,-6.364814639E-1,1.188534498E-1,2.742210627E-1
3.843919125E0,-5.919115543E-1,1.807273775E-1,3.160363138E-1
