"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.055504083E0,-2.546137571E-1,4.897121489E-1,-4.520681687E-3
3.065448083E0,3.766207956E-3,5.439033508E-1,-2.428658903E-1
3.075393083E0,1.823750883E-1,6.110392809E-1,-4.060098231E-1
3.085338083E0,2.245751023E-1,6.291290522E-1,-5.831332803E-1
3.095283083E0,1.395257264E-1,6.267455220E-1,-7.778729200E-1
3.105227083E0,2.292936295E-2,5.604299307E-1,-9.907352924E-1
3.115172083E0,-8.578407019E-2,4.336748719E-1,-1.138694882E0
3.125117083E0,-1.659155339E-1,7.105895132E-2,-1.203330755E0
3.135061083E0,-2.036581188E-1,-6.341120005E-1,-1.186924338E0
3.145006083E0,-2.560535073E-1,-8.860884309E-1,-1.387420416E0
3.154951083E0,-3.439990580E-1,-9.929115772E-1,-1.564477563E0
3.164896083E0,-4.796216488E-1,-4.258498251E-1,-1.461197376E0
3.174840083E0,-6.285551786E-1,6.103845239E-1,-6.560974717E-1
3.184785083E0,-4.052180350E-1,1.687319279E-1,3.557451963E-1
3.194730083E0,-1.744058430E-1,-2.314590104E-2,1.115725398E0
3.204674083E0,8.765769750E-2,-1.379946768E-1,1.559981585E0
3.214619083E0,4.482379854E-1,-2.996986210E-1,1.840938449E0
3.224564083E0,8.126989603E-1,-2.738268375E-1,1.823128343E0
3.234509083E0,1.106562853E0,-2.279836982E-1,1.195091605E0
3.244453083E0,1.009161234E0,-1.954859346E-1,1.201747283E-1
3.254398083E0,6.537189484E-1,8.614069223E-2,-4.047548175E-1
3.264343083E0,2.642315924E-1,3.424465656E-1,-4.318104982E-1
3.274287083E0,-1.414413452E-1,4.543677866E-1,-3.043976724E-1
3.284232083E0,-4.440626204E-1,4.007139504E-1,-1.447823048E-1
3.294177083E0,-5.847424865E-1,3.574181497E-1,-1.840651780E-2
3.304122083E0,-6.167468429E-1,3.065313697E-1,1.390968859E-1
3.314066083E0,-5.328889489E-1,1.323294789E-1,1.346917450E-1
3.324011083E0,-3.744713962E-1,2.963428013E-2,3.093282133E-2
3.333956083E0,-1.839051843E-1,-4.075279832E-2,-1.114802510E-1
3.343900083E0,-3.422127664E-2,-1.118837968E-1,-2.402341068E-1
3.353845083E0,1.888508536E-2,-1.198953837E-1,-3.322252929E-1
3.363790083E0,4.321474582E-2,-5.934281275E-2,-3.169856966E-1
3.373735083E0,4.721401632E-2,-1.320647821E-2,-2.117484957E-1
3.383679083E0,1.709687337E-2,-3.035790101E-2,-8.670064062E-2
3.393624083E0,-4.384715576E-3,-9.835080057E-2,1.574238203E-2
3.403569083E0,6.021419168E-2,-1.467272937E-1,3.465807438E-2
3.413513083E0,2.505204976E-1,-1.816951334E-1,-6.254570186E-2
3.423458083E0,5.493596196E-1,-1.820546389E-1,-2.381418943E-1
3.433403083E0,8.581502438E-1,-9.854297340E-2,-4.082593024E-1
