"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.182627250E0,-1.654060364E0,-8.370293884E0,5.972579956E-2
3.192546250E0,-1.042881317E0,-7.576943665E0,1.385518799E0
3.202433250E0,-5.505551147E-1,-6.993007965E0,2.763104095E0
3.212352250E0,-5.288502502E-1,-6.552024994E0,3.391946411E0
3.222270250E0,-3.159928894E-1,-6.592590637E0,3.070564728E0
3.232188250E0,-2.380050659E-2,-7.205266571E0,2.230661316E0
3.242106250E0,5.987548828E-3,-7.905660095E0,1.305135956E0
3.252024250E0,-1.398092651E-1,-8.445138245E0,3.923341370E-1
3.261943250E0,-4.489164734E-1,-8.921896820E0,-4.574487305E-1
3.271861250E0,-7.494914246E-1,-9.526489563E0,-9.503736877E-1
3.281779250E0,-9.171427917E-1,-1.004186783E1,-8.882528687E-1
3.291667250E0,-7.429051208E-1,-1.034813095E1,-4.781057739E-1
3.301585250E0,-4.480183411E-1,-1.046848068E1,1.080752563E-1
3.311503250E0,1.505868530E-1,-1.028062134E1,7.186555481E-1
3.321421250E0,7.384144592E-1,-9.989027710E0,1.120869141E0
3.331340250E0,9.177415466E-1,-9.807904358E0,1.418450317E0
3.341258250E0,1.012494507E0,-9.586365051E0,1.718725891E0
3.351176250E0,1.103954315E0,-9.303453369E0,1.896855469E0
3.361094250E0,1.419797516E0,-8.756790161E0,1.857038269E0
3.370982250E0,1.510658569E0,-8.621621246E0,1.523980865E0
3.380900250E0,1.440903625E0,-8.427624664E0,1.235979767E0
3.390818250E0,1.445543976E0,-8.335715790E0,1.166524200E0
3.400737250E0,1.154100037E0,-8.470884705E0,1.223705292E0
3.410655250E0,1.058748322E0,-8.559350739E0,1.489702148E0
3.420573250E0,1.140927429E0,-8.481961670E0,1.897005157E0
3.430491250E0,1.243164825E0,-8.486901398E0,2.289938049E0
3.440409250E0,1.571881256E0,-8.398285675E0,2.515069885E0
3.450328250E0,1.932032318E0,-8.220455475E0,2.676883392E0
3.460215250E0,2.170486450E0,-8.276888123E0,2.544857941E0
3.470134250E0,2.330653381E0,-8.674461365E0,2.087558899E0
3.480052250E0,2.502945099E0,-9.339378662E0,1.253643036E0
3.489970250E0,2.655328217E0,-1.002136047E1,6.430627441E-1
3.499888250E0,2.384840698E0,-1.028855484E1,5.656736755E-1
3.509806250E0,1.754202118E0,-1.049228119E1,7.261399841E-1
3.519725250E0,1.006357269E0,-1.047641418E1,1.038390656E0
3.529643250E0,5.357359314E-1,-1.031280441E1,1.164129181E0
3.539561250E0,6.900650024E-2,-9.989925842E0,1.085692291E0
3.549449250E0,-2.760260010E-1,-9.642049255E0,1.135538635E0
3.559367250E0,-5.873785400E-1,-9.547895050E0,1.219214630E0
3.569285250E0,-8.669970703E-1,-9.807155914E0,1.244062958E0
3.579203250E0,-1.323397980E0,-9.815538483E0,1.323547668E0
3.589122250E0,-1.795665894E0,-8.845555573E0,1.389560394E0
3.599040250E0,-2.137704620E0,-7.752977600E0,1.331181793E0
3.608958250E0,-2.246827698E0,-7.051536255E0,1.028810577E0
3.618848458E0,-2.178569641E0,-6.951544189E0,4.445755005E-1
3.628766458E0,-1.958078156E0,-7.280859375E0,-2.624043274E-1
3.638685458E0,-1.626367950E0,-8.092321930E0,-1.026116180E0
3.648603458E0,-1.279389496E0,-9.051078186E0,-1.645079041E0
3.658491458E0,-1.157842255E0,-1.006162674E1,-2.054926758E0
3.668409458E0,-8.922944641E-1,-1.153411469E1,-1.831441498E0
3.678327458E0,-6.993457031E-1,-1.408241547E1,-1.620530090E0
3.688245458E0,-1.426533508E-1,-1.718561234E1,-1.165775757E0
