,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
2573,25.765463,-0.7277860045000001,-0.715231359,0.8948490024
2574,25.77547,-0.7135439515,-0.5720398426,0.6787062883
2575,25.785477,-0.6342585682999999,-0.3460024595,0.4341493249
2576,25.795484,-0.4512890279,-0.1645770073,0.19873015579999997
2577,25.805491,-0.23823645710000002,-0.21154718100000003,-0.011895450759999999
2578,25.815498,-0.03485085815,-0.28215000030000004,-0.2188097537
2579,25.82550487,0.1605092585,-0.23003740609999998,-0.44736075399999997
2580,25.83551187,0.3751040995,-0.1681135893,-0.5248637795000001
2581,25.84551887,0.5941014886,-0.2423059493,-0.5224327445
2582,25.85552587,0.7555031776000001,-0.5799860358,-0.5410024524
2583,25.86553287,0.9481614828,-0.6622471213000001,-0.4079695344
2584,25.87553988,1.122075558,-0.8029376268,-0.25659918789999997
2585,25.88554687,1.197988391,-0.8633339405,-0.1287781
2586,25.89555387,1.041661143,-0.594815135,0.009768070653
2587,25.90556087,0.5700011849000001,-0.06888855249,0.1862746477
2588,25.91556787,-0.07022669911,0.2646992505,0.2962554991
2589,25.92557487,-0.6855671406,0.47409057619999995,0.3564608693
2590,25.93558187,-1.123981595,0.6046627164,0.2626190484
2591,25.94558887,-1.285989881,0.5878784657,-0.01388282608
2592,25.95559587,-1.135279417,0.3910743296,-0.44280460479999995
2593,25.96560287,-0.8990374804000001,0.11543052640000001,-0.7077060937999999
2594,25.97560987,-0.8749673367,-0.2132983506,-0.7157174349
2595,25.98561687,-1.035987616,-0.5826316476,-0.5594649315
2596,25.99562387,-1.200222373,-0.826541245,-0.2746444345
2597,26.00563088,-1.25341928,-0.9148558974,-0.06285402924
2598,26.01563787,-1.185927629,-0.8867249489,0.04585274681
2599,26.02564487,-1.0770279170000001,-0.6924697756999999,0.1594059765
2600,26.03565187,-0.9745422602,-0.45825085039999996,0.278306812
2601,26.04565887,-0.9028177856999999,-0.2658464611,0.3185370564
2602,26.05566587,-0.8907376528000001,-0.1453789026,0.2867277265
2603,26.06567287,-0.9183033705,-0.01558264717,0.2457933724
2604,26.07567987,-0.9820602536,0.2387002259,0.2658427358
2605,26.08568687,-1.078594327,0.5430886745,0.2776172161
2606,26.09569387,-1.072281003,0.7616571784,0.3061255515
2607,26.10570087,-0.9106500745,0.8396525979,0.38238269090000004
2608,26.11570787,-0.7101518512,0.8134680986,0.4256113768
2609,26.12571487,-0.5057686567,0.7633163929000001,0.425139159
2610,26.13572188,-0.2816399038,0.6993485689,0.44291788340000005
2611,26.14572887,-0.05981558188999999,0.5387860537,0.4957373142
2612,26.15573587,0.13649533689999999,0.4249764085,0.5198871493
2613,26.16574287,0.38371297719999997,0.5803973675,0.5077903271
2614,26.17574987,0.6282183528,0.8284508586,0.4802404642
2615,26.18575687,0.872374475,1.070594788,0.4536343515
2616,26.19576487,1.047915697,1.172455192,0.4428347051
2617,26.20577087,1.043573976,1.153823614,0.3993532062
2618,26.21577787,0.890776515,1.164173126,0.3631877303
2619,26.22578487,0.5795615315,1.265592694,0.3455938995
2620,26.23579187,0.1994139105,1.566384435,0.3412550688
2621,26.24579887,-0.265236944,1.948533893,0.33218699690000003
2622,26.25580687,-0.6883322597,1.957871556,0.3544315696
2623,26.26581288,-0.9187640548,1.6394169330000001,0.39922517539999997
2624,26.27581987,-0.9236922264,1.3379814620000001,0.4593249857
2625,26.28582787,-0.8167951106999999,0.9095618725,0.5426834226
2626,26.29583487,-0.6595879197,0.5760438442,0.5687983632
2627,26.30584087,-0.5460324287,0.4633279443,0.5823360682000001
2628,26.31584887,-0.48883652689999996,0.4664451778,0.6080004573
2629,26.32585587,-0.46002399920000003,0.5241200924,0.6587728262
2630,26.33586287,-0.40724173189999996,0.5571904778,0.7163785695999999
2631,26.34586987,-0.3821355999,0.5733162165,0.7728779316
2632,26.35587687,-0.3872952163,0.5845387578,0.8332776426999999
2633,26.36588387,-0.4260317981,0.6383932829,0.8871352077
2634,26.37589088,-0.5025420189,0.6943630576,0.9213699101999999
2635,26.38589787,-0.6021651029999999,0.7749353647,0.9438510537
2636,26.39590487,-0.6928249598,0.843706727,0.9666756987999999
2637,26.40591187,-0.7826608419,0.9070751070999999,0.9891107081999999
2638,26.41591887,-0.8638888597,0.9974209666,0.9574377537000001
2639,26.42592587,-0.9132668972,1.069850087,0.8982225656999999
2640,26.43593287,-0.9386998415000001,1.147671103,0.7957113385
2641,26.44593987,-0.9479389787000001,1.175419807,0.724807322
2642,26.45594687,-0.8942440152,1.186843157,0.6577350497
2643,26.46595387,-0.7807771564,1.18253684,0.5663902164
2644,26.47596087,-0.6190780401,1.151738882,0.45881447200000003
2645,26.48596787,-0.43783789869999995,1.067777514,0.3005928993
2646,26.49597487,-0.27209234239999996,1.024481893,0.1426743567
2647,26.50598188,-0.1446670443,0.9677833915,-0.0067433789370000006
2648,26.51598887,-0.04812293127,0.8531175256,-0.11181360480000001
2649,26.52599587,0.025269463659999998,0.7293872833,-0.1312332749
2650,26.53600287,0.062791273,0.6178964376,-0.07564777881
2651,26.54600987,0.08101701736,0.5545369387,-0.049289610240000004
2652,26.55601687,0.09480925649000001,0.5106387138,-0.05204571411
2653,26.56602387,0.126536265,0.4607844949,-0.08282427490000001
2654,26.57603087,0.1847489625,0.3851238191,-0.17701974510000001
2655,26.58603787,0.2834905386,0.2803987861,-0.2798683345
2656,26.59604487,0.4267297089,0.2065208107,-0.35204586390000003
2657,26.60605187,0.5893413424,0.1124436855,-0.38671350479999994
2658,26.61605887,0.7326191664,0.01419434696,-0.3878730237
2659,26.62606587,0.8059922456999999,-0.10079981390000001,-0.4008890986
2660,26.63607288,0.791000247,-0.43997812270000003,-0.5594412088
2661,26.64607987,0.8116303681999999,-0.8878558874,-0.8634675145
2662,26.65608687,0.9300494194,-1.261415362,-1.276157498
2663,26.66609387,1.0806620120000001,-1.564904809,-1.7418479919999998
2664,26.67610087,1.155649543,-1.646605611,-2.239202738
2665,26.68610787,1.1294646259999999,-1.455203056,-2.625307798
2666,26.69611487,0.9681755304,-1.0228255990000001,-2.764231443
2667,26.70612187,0.7658517957,-0.3389480114,-2.616616964
2668,26.71612887,0.8248078227,0.4063203037,-2.146172047
2669,26.72613587,1.13996923,0.9226135015000001,-1.415546775
2670,26.73614287,1.326304436,0.7070646881999999,-0.9118953943000001
2671,26.74614987,1.329709888,0.0007386625512,-0.6524553895
2672,26.75615687,1.380521417,-0.48292520640000003,-0.18063187600000002
2673,26.76616387,1.605163455,-0.7092732191,0.3346757591
2674,26.77617087,1.9558908940000002,-1.126864076,0.5900552869
2675,26.78617787,2.366858244,-1.711272955,0.6862389445
2676,26.79618487,2.805928707,-2.328968287,0.6272656322
2677,26.80619187,3.072724819,-2.699721098,0.44241255520000006
2678,26.81619887,2.96101141,-2.5434741969999997,0.1906224042
2679,26.82620508,2.421612263,-1.529228091,-0.05562794209
2680,26.83621208,1.7864195109999998,-0.19168713690000003,-0.2395943254
2681,26.84621908,1.260235906,0.2213191986,-0.3470901549
2682,26.85622608,0.5929511189,-0.4273325503,-0.3975117803
2683,26.86623308,-0.22170867030000002,-1.2755470279999999,-0.4927529991
2684,26.87624008,-0.7864897847,-1.6071157459999998,-0.619631052
2685,26.88624708,-1.080418587,-1.4643963580000001,-0.7556401491
2686,26.89625408,-1.1901879309999999,-1.149484515,-0.8348881006000001
2687,26.90626108,-1.173151493,-0.8831757306999999,-0.8312340975
2688,26.91626808,-1.049533129,-0.7422673702,-0.7841213942
2689,26.92627508,-0.7559934855,-0.6082498431000001,-0.6747748852
2690,26.93628208,-0.3219344318,-0.3635111749,-0.5300078988
2691,26.94628908,0.1800060719,-0.08975648135,-0.37513381240000004
2692,26.95629608,0.6562735438,0.2310100794,-0.2312037945
2693,26.96630308,0.9650384188,0.5901268721,-0.09048617631000001
2694,26.97631008,1.018182516,0.5730967522,0.004570563324
2695,26.98631708,0.7830995917,0.044634599239999996,0.1272653788
2696,26.99632408,0.4006209075,-0.4349527657,0.2864025831
2697,27.00633108,0.1160073802,-0.5867398381000001,0.42057600619999996
2698,27.01633808,-0.04629338533,-0.5413188338,0.5163502097
2699,27.02634508,-0.1574300826,-0.42867505549999996,0.5849369168
2700,27.03635208,-0.24097052219999998,-0.38611960409999996,0.6771656870999999
2701,27.04635908,-0.3085676432,-0.3794773221,0.7609078288
2702,27.05636608,-0.3858885169,-0.43222710490000005,0.8462101817000001
2703,27.06637308,-0.47170862560000004,-0.5543088913,0.9136171937
2704,27.07638008,-0.5365419388,-0.7285765409,0.9421681762
2705,27.08638708,-0.5576526522999999,-0.8667419553,0.9169349073999999
2706,27.09639408,-0.5499025583,-0.9219655395,0.8315100670000001
2707,27.10640108,-0.5115069747,-0.8658790587999999,0.6718741655
2708,27.11640808,-0.44269889590000006,-0.6836085916,0.46100455520000005
2709,27.12641508,-0.3499476314,-0.3491722047,0.2234090716
2710,27.13642208,-0.2630028725,0.054195497179999996,0.020006673410000002
2711,27.14642908,-0.1695647091,0.3314480186,-0.14722581210000002
2712,27.15643608,-0.06547826529,0.2924129963,-0.2900167704
2713,27.16644308,0.17666228120000002,0.2074247152,-0.356559515
2714,27.17645008,0.5030183196,-0.02631374821,-0.38554537299999997
2715,27.18645708,0.8144420385,-0.3146396279,-0.39961442350000004
2716,27.19646408,1.138198733,-0.4347244799,-0.33416190739999996
2717,27.20647108,1.407946944,-0.7187471390000001,-0.19349098210000001
2718,27.21647808,1.4915064569999998,-0.9580476284,-0.055904082949999996
2719,27.22648508,1.264331222,-0.9873530268999999,0.06207723171
2720,27.23649208,0.7204576134999999,-0.7752085328,0.24003285170000002
2721,27.24649908,-0.0026374012229999997,-0.5807304978,0.35319992899999997
2722,27.25650608,-0.6673182249,-0.5017001033,0.38003209229999996
2723,27.26651308,-1.178032875,-0.3636454046,0.3370226324
2724,27.27652008,-1.393808365,-0.12467729300000001,0.1831097752
2725,27.28652708,-1.2530629629999999,0.1557055861,-0.22598280010000002
2726,27.29653408,-0.8418080806999999,0.2733677626,-0.7277052999
2727,27.30654108,-0.5328422785,0.30590236190000003,-0.9399501084999999
2728,27.31654808,-0.45263534780000003,0.0408398062,-0.851660192
2729,27.32655508,-0.5418836474000001,-0.36130303140000003,-0.5279638767
2730,27.33656208,-0.6219385265999999,-0.5363901853999999,-0.20546814800000002
2731,27.34656908,-0.5724110603,-0.6180001497,-0.02695642225
2732,27.35657608,-0.4679768085,-0.6145061255,0.1202466115
2733,27.36658308,-0.4344584346,-0.4725171328,0.2470968813
2734,27.37659008,-0.5017072558,-0.3135541081,0.299121201
2735,27.38659708,-0.6335036159,-0.28204059600000003,0.2816916108
2736,27.39660408,-0.7911396026999999,-0.3837967813,0.25177446010000004
2737,27.40661108,-0.9914029241,-0.4495663941,0.24191953239999997
2738,27.41661808,-1.266084075,-0.2291072607,0.3531746864
2739,27.42662508,-1.460366488,0.14544095099999998,0.4289865792
2740,27.43663208,-1.494020939,0.44036978479999994,0.5202302337
2741,27.44663908,-1.4176782369999998,0.6404771209000001,0.6583692431
2742,27.45664608,-1.295378923,0.6928369998999999,0.7162032723
2743,27.46665308,-1.1401526929999999,0.6141397953,0.7317708731
2744,27.47666008,-0.9356989264,0.5173181295,0.7226482034
2745,27.48666708,-0.6609386802,0.5706882477,0.6881707907
2746,27.49667408,-0.3759343326,0.6776136159999999,0.6830415726000001
2747,27.50668108,-0.12768541279999998,0.7628321052,0.6580200790999999
2748,27.51668808,0.1558246017,0.8725873231999999,0.5947862864
2749,27.52669508,0.5206551552,1.111197233,0.5154051185
2750,27.53670208,0.8662632108,1.244953752,0.42836982009999997
2751,27.54670908,1.093013644,1.228197336,0.35399535299999996
2752,27.55671608,1.154469848,1.199180841,0.35608246920000003
2753,27.56672308,1.0767792459999999,1.2664000990000002,0.37069833280000003
2754,27.57673008,0.7380179167,1.441910625,0.3440763056
2755,27.58673708,0.1710685343,1.673249245,0.34344488380000004
2756,27.59674408,-0.44808471200000005,1.8924758430000002,0.3722373843
2757,27.60675108,-0.8954799770999999,1.640957117,0.4550951719
2758,27.61675808,-1.0578308109999999,1.224321008,0.5441408753
2759,27.62676508,-0.9934458733,0.6607438326,0.6404867768
